Rank,Universitas,Negara,Score
474Top 2.4%,George Mason University,USA,74.5
475Top 2.4%,University of Vermont,USA,74.5
476Top 2.4%,Western Sydney University,Australia,74.5
477Top 2.4%,Medical College of Wisconsin,USA,74.5
478Top 2.4%,University of KwaZulu-Natal,South Africa,74.5
479Top 2.4%,Florida International University,USA,74.5
480Top 2.4%,University of Central Florida,USA,74.5
481Top 2.4%,University of Eastern Finland,Finland,74.5
482Top 2.4%,University of Catania,Italy,74.5
483Top 2.4%,University of Louisville,USA,74.5
484Top 2.4%,University of Surrey,United Kingdom,74.4
485Top 2.4%,Ulsan National Institute of Science and Technology,South Korea,74.4
486Top 2.4%,University of Guelph,Canada,74.4
487Top 2.4%,University of Santiago de Compostela,Spain,74.4
488Top 2.4%,Lehigh University,USA,74.4
489Top 2.4%,Antioch College,USA,74.4
490Top 2.4%,University of Tehran,Iran,74.4
491Top 2.4%,University of Texas Health Science Center at San Antonio,USA,74.4
492Top 2.4%,Southwest University,China,74.4
493Top 2.5%,University of Strathclyde,United Kingdom,74.3
494Top 2.5%,Indian Institute of Science,India,74.3
495Top 2.5%,James Cook University,Australia,74.3
496Top 2.5%,Novosibirsk State University,Russia,74.3
497Top 2.5%,Nanjing Tech University,China,74.3
498Top 2.5%,University of Stuttgart,Germany,74.3
499Top 2.5%,Southern Medical University,China,74.3
500Top 2.5%,Okayama University,Japan,74.3
501Top 2.5%,West Virginia University,USA,74.3
502Top 2.5%,Nanjing University of Information Science and Technology,China,74.2
503Top 2.5%,Federal University of Minas Gerais,Brazil,74.2
504Top 2.5%,University of Ferrara,Italy,74.2
505Top 2.5%,University of Hawaii at Manoa,USA,74.2
506Top 2.5%,Technical University of Darmstadt,Germany,74.2
507Top 2.5%,University of Siena,Italy,74.2
508Top 2.5%,Leibniz University Hannover,Germany,74.2
509Top 2.5%,University of Potsdam,Germany,74.2
510Top 2.5%,Moscow Institute of Physics and Technology,Russia,74.2
511Top 2.5%,University of Zaragoza,Spain,74.2
512Top 2.5%,Baylor University,USA,74.1
513Top 2.5%,University of Tennessee Health Science Center,USA,74.1
514Top 2.6%,"China Medical University, Taiwan",Taiwan,74.1
515Top 2.6%,Jiangnan University,China,74.1
516Top 2.6%,Rush University,USA,74.1
517Top 2.6%,Eötvös Loránd University,Hungary,74.1
518Top 2.6%,University of Rostock,Germany,74.1
519Top 2.6%,NOVA University of Lisbon,Portugal,74.1
520Top 2.6%,Cairo University,Egypt,74.1
521Top 2.6%,Polytechnic University of Valencia,Spain,74.1
522Top 2.6%,École normale supérieure de Lyon,France,74.0
523Top 2.6%,Mayo Clinic College of Medicine and Science,USA,74.0
524Top 2.6%,Technical University of Dortmund,Germany,74.0
525Top 2.6%,University of Tromsø – The Arctic University of Norway,Norway,74.0
526Top 2.6%,University of Modena and Reggio Emilia,Italy,74.0
527Top 2.6%,University of South Australia,Australia,74.0
528Top 2.6%,University of Zagreb,Croatia,74.0
529Top 2.6%,University of Tartu,Estonia,74.0
530Top 2.6%,Flinders University,Australia,74.0
531Top 2.6%,University of Colorado Denver,USA,74.0
532Top 2.6%,Polytechnic University of Madrid,Spain,73.9
533Top 2.6%,University of Hull,United Kingdom,73.9
534Top 2.7%,University College Cork,Ireland,73.9
535Top 2.7%,Georgia State University,USA,73.9
536Top 2.7%,Boston College,USA,73.9
